idCustomer,nameCustomer,birthday,gender,idCard,phoneNumber,emailCustomer,typeCustomer,addressCustomer
6cba2d91b0a7483799af05dcb2d89a90,Na,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,Ba,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,Ca,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,Ma,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,Xa,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,Ha,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,Za,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,La,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
6cba2d91b0a7483799af05dcb2d89a90,Aa,12/12/1999,male,123456789,1234567898,ddd@ss.d,H,F
14874abd427444bd961bbf7b1663f347,Qunag,13/11/1999,male,123456789,1234567890,Ans@s.d,H,Hsksks
